|autor|ciudades|conteo_retweets|empresas|fecha_creacion|palabras_clave|texto
0|hhernandeza11||0|Codensa|Mon Sep 03 21:11:42 +0000 2018|Sin luz|@CodensaEnergia sin luz cedritos, carrera 15 con calle 143
1|andrea58_||0|Codensa|Mon Sep 03 21:18:07 +0000 2018|Sin luz|@CodensaEnergia  30 min sin luz en cedritos,ahora es muy frecuente este tema¿qué pasa?
2|Pereirano18|Bogota|80||Mon Sep 03 21:35:21 +0000 2018|Apagon|RT @PISO3BOGOTA: 18 DE AGOSTO #SEX #BLACKOUT #extreme #APAGON LA INSIGNE DE @PISO3BOGOTA AMBIENTE OSCURO, DERROCHE DE EROTISMO Y SENSUALIDA…
3|TUKANAL|Cúcuta|0||Mon Sep 03 21:38:08 +0000 2018|Apagón|Apagón en Cúcuta y pueblos de occidente por incendio cerca a central de Termotasajero. #Tukanalnoticias @TUKANAL… https://t.co/j3J3XhoaM9
4|johnalb79161328|Cúcuta|1||Mon Sep 03 21:40:41 +0000 2018|Apagón|RT @TUKANAL: Apagón en Cúcuta y pueblos de occidente por incendio cerca a central de Termotasajero. #Tukanalnoticias @TUKANAL #TuKanalPrime…
0|Diego_Triana||0|Codensa|Mon Sep 03 22:08:34 +0000 2018|Sin luz|@CodensaEnergia buenas tardes, más de 15 min esperando respuesta a DM, sin luz en cedritos, alguna novedad?
1|caronito|Bogota|0||Mon Sep 03 22:09:05 +0000 2018|Sin luz|Sin luz en #bogota 😩
2|paisamanxxx|Bogota|81||Mon Sep 03 22:26:00 +0000 2018|Apagon|RT @PISO3BOGOTA: 18 DE AGOSTO #SEX #BLACKOUT #extreme #APAGON LA INSIGNE DE @PISO3BOGOTA AMBIENTE OSCURO, DERROCHE DE EROTISMO Y SENSUALIDA…
3|Kjuliochoa||0|Codensa|Mon Sep 03 22:36:35 +0000 2018|Sin luz|Señores @CodensaEnergia de verdad no les da vergüenza? Más de 1 hora sin luz y ustedes campantes como si nada! 😡 @Superservicios
4|Alexa_shavez||0|Electricaribe|Mon Sep 03 22:44:06 +0000 2018|Sin luz|@Brenda_lau05 @DaniThresh @Camilasuarezres @ElectricaribeSA Aún sin luz?
5|nata12arias||0|Codensa|Mon Sep 03 22:58:09 +0000 2018|Sin luz|@CodensaEnergia no me responde. Estamos sin luz en #Cedritos en Usaquén hace más de una hora. Tenemos una persona q… https://t.co/Sn0omk3I0Y
0|lexymandra||0|Electricaribe, Codensa|Mon Sep 03 23:07:26 +0000 2018|Sin luz|@CodensaEnergia pero qué? Llevamos más de dos horas sin luz en Cedritos, cómo les digo? Electricaribe?
1|John_Bernetti|Cúcuta|2||Mon Sep 03 23:11:05 +0000 2018|Apagón|RT @TUKANAL: Apagón en Cúcuta y pueblos de occidente por incendio cerca a central de Termotasajero. #Tukanalnoticias @TUKANAL #TuKanalPrime…
