texto|lugar|tipo_lugar
@ESSAGrupoEPM para reportar un corte de luz en barrio quebrada la iglesia desde la 6 de la tarde|quebrada la iglesia|barrio
#Electricaribecordoba llevamos más de tres horas sin luz en el barrio Villa caribe que pasa sólo por sectores hasta que horas estaremos así?|Villa caribe|barrio
#EnDesarrollo Un vendaval dejó sin luz durante 30 minutos a 10 barrios del sur de #Bucaramanga. La Electrificadora… https://t.co/JsMFnXD7yt|Bucaramanga|
RT @BluBucaramanga: #EnDesarrollo Un vendaval dejó sin luz durante 30 minutos a 10 barrios del sur de #Bucaramanga. La Electrificadora de S…|Bucaramanga|
Cambios de redes en la Vía 40 dejarán sin luz el domingo varios barrios del norte y sur de Barranquilla… https://t.co/ly3tNRrUmC|Barranquilla|
RT @LaLibertadCo: Cambios de redes en la Vía 40 dejarán sin luz el domingo varios barrios del norte y sur de Barranquilla https://t.co/vlsT…|Barranquilla|
"Muchos vecinos del barrio los eucaliptus estan sin luz hace 2 dias @OficialEdesur hasta cuando esto?, ya quemaron a… https://t.co/EQrVNwJTIK"|los eucaliptus|barrio
"RT @HLSimoncini: Muchos vecinos del barrio los eucaliptus estan sin luz hace 2 dias @OficialEdesur hasta cuando esto?, ya quemaron artefact…"|los eucaliptus|barrio
12 barrios sin luz mañana domingo en Barranquilla https://t.co/3fxhWDzmH1,Barranquilla|
Estos son los 12 barrios y sectores que estarán sin luz este domingo en Barranquilla https://t.co/zVrverirSu https://t.co/0qHOWmlsWE|Barranquilla|
"12 barrios estarán sin luz este domingo en Barranquilla desde las 6:30 am a las 5:30 pm, el intervalo de tiempo dep… https://t.co/YKlO8n4XmE"|Barranquilla|
Atención barrios el golf y paraíso! @ElectricaribeSA repara daño en calle 82 cra 58 que causa apagón en parte del b… https://t.co/LTqvZU2EnY|el golf y paraíso|barrios
RT @HENRYFOREROJ: Atención barrios el golf y paraíso! @ElectricaribeSA repara daño en calle 82 cra 58 que causa apagón en parte del barrio…|el golf y paraíso|barrios
Estos son los 12 barrios y sectores que estarán sin luz este domingo en Barranquilla https://t.co/uc7oqSCL2U los nu… https://t.co/1T8yq9qGDJ|Barranquilla|
Conozcan los 12 barrios y sectores que estarán sin luz este domingo en Barranquilla https://t.co/GUaz0T66Nz|Barranquilla|
Sin luz barrio las mercedes ¿por que? @ElectricaribeSA @elheraldoco @jorgecura1070 @AlejandroChar|las mercedes |barrio
