texto|lugar|tipo_lugar
Este viernes habrá corte de luz en localidades del norte de Misiones https://t.co/9lF9gplwzc|Misiones|
Entregan generador para abastecer a localidad de Los Ríos tras corte de luz https://t.co/8t6VpTvrGX https://t.co/AtFPKDlGE6|Los Ríos|localidad
Entregan generador para abastecer a localidad de Los Ríos tras corte de luz https://t.co/oac3EiXUbo https://t.co/oJWsrsEsj5|Los Ríos|localidad
Entregan generador para abastecer a localidad de Los Ríos tras corte de luz https://t.co/PSziL0QID3 https://t.co/WDeo6XRw2O|Los Ríos|localidad
Este viernes habrá corte de luz en localidades del norte de Misiones https://t.co/9JCxrkiA9c|Misiones|localidad
noticia de último minuto Fuerte apagon en varias localidades luego de una fuerte explotación en unas de las plant… https://t.co/PHoE1C41e3||
Este domingo habrá corte de luz en la localidad de Virasoro https://t.co/AW0P69xEpL https://t.co/4bwub33HFV|Virasoro|
ATENCIÓN: Invitamos a cada usuario conectado a esta hora a reportar desde su localidad sobre el nuevo mega apagón e… https://t.co/Ht6qgAlDg5||
En mi localidad hubo apagon desde hace 30 minutos||
ita Cobb nació en 1958 en Joe Batt's Arm, una localidad en la isla canadiense de Fogo, en un hogar sin electricidad… https://t.co/wRI4HpKE5v||
Localidades cordilleranas tuvieron un domingo sin luz https://t.co/VyteR2gbKD|cordilleranas|Localidades
Localidades cordilleranas tuvieron un domingo sin luz https://t.co/1AnSHkoka1|cordilleranas|Localidades
RT @LMNeuquen: Un cortocircuito en una línea de media tensión dejó sin luz durante más de cinco horas a las localidades neuquinas de Alumin…|neuquinas|localidades
@conafe_sos se reporta corte de luz en Localidad de Colliguay de #MontePatria número de cliente de referencia 29695… https://t.co/l2hGuhvoLv|Colliguay|localidad
Siete meses después del huracán María, muchas localidades en Puerto Rico siguen sin luz. Sin embargo,… https://t.co/zPRuz2tS6b|Puerto Rico|localidades
RT @EfectoNaim: Siete meses después del huracán María, muchas localidades en Puerto Rico siguen sin luz. Sin embargo, @realDonaldTrump cons…|Puerto Rico|localidades
14:15, AHORA! REPORTAN CORTE DE ENERGÍA ELÉCTRICA EN RAFAEL Y ALREDEDORES Vecinos de las localidades de Rafael, Ll… https://t.co/BKai6AxgtG|Rafael|localidades
?AHORA #Tomé : ? Se reporta corte de energía eléctrica en la localidad tomecina de Rafael y sectores rurales de l… https://t.co/SDWGariTqL|Rafael|localidades
RT @radioaguamarina: ?AHORA #Tomé : ? Se reporta corte de energía eléctrica en la localidad tomecina de Rafael y sectores rurales de la c…|Rafael|localidades
Más de diez localidades quedaron sin luz por un desperfecto en la línea Roca-Oberá https://t.co/kbhjIS0dIf||
RT @Radiohitsobera: Más de diez localidades quedaron sin luz por un desperfecto en la línea Roca-Oberá https://t.co/kbhjIS0dIf||
